Price,Open,High,Low,Close,Volume
Ticker,^FCHI,^FCHI,^FCHI,^FCHI,^FCHI
Date,,,,,
2021-10-19,6690.9501953125,6692.14013671875,6650.83984375,6669.85009765625,63597900
2021-10-20,6636.60986328125,6715.52001953125,6636.60986328125,6705.60986328125,65963400
2021-10-21,6673.14013671875,6699.2099609375,6658.9501953125,6686.169921875,63926300
2021-10-22,6720.919921875,6765.4599609375,6716.14990234375,6733.68994140625,65949700
2021-10-25,6752.97998046875,6752.97998046875,6707.31982421875,6712.8701171875,58586000
2021-10-26,6723.06005859375,6775.81982421875,6711.2099609375,6766.509765625,79339600
2021-10-27,6755.6298828125,6771.18994140625,6731.85986328125,6753.52001953125,68739200
2021-10-28,6750.77978515625,6804.22021484375,6750.77978515625,6804.22021484375,75981000
2021-10-29,6778.7900390625,6830.33984375,6748.52978515625,6830.33984375,89550100
2021-11-01,6870.27978515625,6908.64990234375,6859.43994140625,6893.2900390625,67294100
2021-11-02,6883.06005859375,6933.35009765625,6879.68994140625,6927.02978515625,64187800
2021-11-03,6919.47021484375,6955.10009765625,6917.75,6950.64990234375,65516400
2021-11-04,6977.6201171875,6993.009765625,6962.009765625,6987.7900390625,76559800
2021-11-05,6983.7998046875,7063.39990234375,6983.7998046875,7040.7900390625,79993700
2021-11-08,7041.60009765625,7067.10009765625,7037.669921875,7047.47998046875,66513600
2021-11-09,7023.580078125,7079.580078125,7016.72998046875,7043.27001953125,71276900
2021-11-10,7046.169921875,7053.27001953125,7014.93994140625,7045.16015625,85630200
2021-11-11,7038.83984375,7072.6298828125,7032.35009765625,7059.5498046875,74342900
2021-11-12,7062.5400390625,7097.4599609375,7056.93017578125,7091.39990234375,64249000
2021-11-15,7090.9599609375,7136.1298828125,7088.7099609375,7128.6298828125,64255100
2021-11-16,7146.3701171875,7164.27001953125,7136.2998046875,7152.60009765625,69021700
2021-11-17,7149.2998046875,7167.7998046875,7147.009765625,7156.85009765625,68243500
2021-11-18,7155.0498046875,7181.5498046875,7136.85986328125,7141.97998046875,75845600
2021-11-19,7172.72021484375,7183.080078125,7068.43017578125,7112.2900390625,117988000
2021-11-22,7130.240234375,7143.60009765625,7087.669921875,7105.0,85214100
2021-11-23,7064.3798828125,7112.490234375,7002.56005859375,7044.6201171875,73747800
2021-11-24,7052.18017578125,7089.10986328125,6983.97998046875,7042.22998046875,75264400
2021-11-25,7067.60986328125,7079.490234375,7047.85986328125,7075.8701171875,57485800
2021-11-26,6814.89990234375,6861.14990234375,6725.080078125,6739.72998046875,159605400
2021-11-29,6831.41015625,6841.7900390625,6760.31005859375,6776.25,108062500
2021-11-30,6679.02978515625,6780.8798828125,6655.85986328125,6721.16015625,182689600
2021-12-01,6774.7998046875,6902.4599609375,6750.64990234375,6881.8701171875,101765800
2021-12-02,6794.77001953125,6850.3701171875,6762.740234375,6795.75,101894500
2021-12-03,6860.72998046875,6872.7900390625,6730.6298828125,6765.52001953125,83342600
2021-12-06,6810.93017578125,6888.06982421875,6776.169921875,6865.77978515625,84991100
2021-12-07,6934.68017578125,7066.9501953125,6934.68017578125,7065.39013671875,96223300
2021-12-08,7064.1201171875,7104.06005859375,7014.56982421875,7014.56982421875,80200900
2021-12-09,7035.93017578125,7044.990234375,6983.330078125,7008.22998046875,64070600
2021-12-10,6960.39013671875,7025.8798828125,6960.39013671875,6991.68017578125,63499000
2021-12-13,7004.759765625,7029.3798828125,6929.1298828125,6942.91015625,75947300
2021-12-14,6978.77001953125,6993.2998046875,6891.33984375,6895.31005859375,88567300
2021-12-15,6923.52001953125,6949.919921875,6904.93994140625,6927.6298828125,74220800
2021-12-16,7054.919921875,7054.919921875,6987.9501953125,7005.06982421875,101536900
2021-12-17,6982.06982421875,7011.60986328125,6884.91015625,6926.6298828125,148484800
2021-12-20,6783.830078125,6872.75,6747.68994140625,6870.10009765625,86311700
2021-12-21,6935.66015625,6967.93017578125,6888.52001953125,6964.990234375,75487700
2021-12-22,6982.52978515625,7051.669921875,6963.7099609375,7051.669921875,55611500
2021-12-23,7071.93017578125,7119.8701171875,7049.919921875,7106.14990234375,54434100
2021-12-24,7091.60009765625,7116.8798828125,7086.580078125,7086.580078125,11954300
2021-12-27,7070.14013671875,7149.14013671875,7062.39990234375,7140.39013671875,34917800
2021-12-28,7141.85009765625,7187.759765625,7141.669921875,7181.10986328125,36149600
2021-12-29,7179.10986328125,7201.64990234375,7137.35009765625,7161.52001953125,37481200
2021-12-30,7167.52978515625,7189.83984375,7156.7900390625,7173.22998046875,35427000
2021-12-31,7153.66015625,7163.72998046875,7139.60009765625,7153.02978515625,18788700
2022-01-03,7197.39990234375,7245.66015625,7195.81982421875,7217.22021484375,54644700
2022-01-04,7273.56982421875,7332.2099609375,7250.240234375,7317.41015625,77540000
2022-01-05,7320.47998046875,7384.85986328125,7313.52978515625,7376.3701171875,0
2022-01-06,7264.0,7316.06005859375,7240.8798828125,7249.66015625,89793800
2022-01-07,7250.7900390625,7269.64990234375,7178.18017578125,7219.47998046875,78597800
2022-01-10,7245.2099609375,7250.240234375,7105.5498046875,7115.77001953125,80610700
2022-01-11,7185.2099609375,7227.7099609375,7160.43994140625,7183.3798828125,71633500
2022-01-12,7235.47021484375,7249.8798828125,7183.3798828125,7237.18994140625,85271800
2022-01-13,7215.47998046875,7227.35009765625,7166.93994140625,7201.14013671875,81834900
2022-01-14,7132.58984375,7171.39990234375,7119.009765625,7143.0,79772300
2022-01-17,7167.52978515625,7213.7001953125,7148.97998046875,7201.64013671875,53465300
2022-01-18,7172.43017578125,7175.4599609375,7098.18994140625,7133.830078125,78561500
